Internados,Valor serviços hospitalares,Valor serviços profissionais,Valor médio intern,Dias permanência,Óbitos,Valor total
333,117242,28106,436.48,1075,4,145348
629,347652,73745,669.95,2602,49,421398
605,210380,74549,470.96,2123,32,284930
433,194212,43676,549.4,1554,10,237889
5281,5069978,1190398,1185.45,16895,307,6260377
498,254100,56288,623.27,1445,13,310388
107,37575,6738,414.15,344,9,44314
374,141678,27821,453.21,1216,11,169500
1202,942272,119147,883.04,3596,,1061419
437,186095,78536,605.57,790,4,264632
179,83862,20600,583.58,563,7,104460
36301,65828232,16998439,2285.95,188290,2651,82982338
1042,420368,102419,501.72,2118,13,522787
1946,1301428,147371,744.5,6586,9,1448806
383,150935,44159,509.39,1045,20,195095
2112,834534,260589,518.52,6963,89,1095123
1134,482285,125483,535.95,3944,98,607768
1207,415999,116318,441.03,3152,39,532317
1790,912903,265426,658.29,7051,32,1178330
715,230793,52056,395.59,2241,24,282849
2069,787559,210411,482.34,6843,131,997970
1197,1796592,379433,1817.90,4644,119,2176025
79,35145,6220,523.62,388,2,41365
2313,2358432,497860,1234.89,11699,275,2856293
13587,26742064,6448402,2442.81,58583,1121,33190466
5878,4973992,1086553,-317243,20312,390,6060546
717,343559,61511,564.95,2814,53,405071
659,419550,107748,800.15,2625,43,527299
215,90995,14441,490.41,789,17,105437
274,81144,16421,356.08,937,24,97566
2017,1104647,324782,708.69,5959,118,1429429
455,190177,52057,532.38,1810,33,242234
55,22106,55921,464.32,269,1,25537
3502,2563430,677047,925.32,16674,261,3240477
4588,9889082,1648674,2514.77,21745,331,11537756
498,333398,97302,864.86,1186,12,430701
4505,6318878,1318724,1624.90,24469,370,7646795
1380,1216135,276979,1081.97,5114,84,1493115
357,173597,34489,582.88,1084,29,208086
227,120774,28626,658.15,1162,,149400
296,141352,26283,566.34,1538,26,167635
2339,3913451,738366,1988.80,10964,175,4651811
1760,1185206,215649,795.94,14928,99,1400855
1003,512226,150591,660.83,4174,74,662816
13586,29953663,5615728,2382,138285,1147,35569391
1430,963722,227053,832.71,4731,101,1190776
266034,565063099,117821222,2556.34,1667960,14761,682912906
560,188981,29177,389.57,2382,31,218158
782,336449,76225,527.72,2784,46,412675
272,91333,17342,399.54,1258,9,108675
21459,59999857,12436798,3375.27,131580,1734,72436655
881,229647,42081,308.43,3595,79,271728
1870,2845624,631423,1859.38,6893,198,3477047
3171,1294175,456274,552.02,11589,152,1750449
3019,4902782,971010,1945.61,13140,247,5873793
241,86837,10875,405.45,1117,24,97712
433,249067,51754,694.74,1491,66,300822
194,83864,12504,496.75,914,23,96368
5372,4429655,1123539,1033.73,23215,424,5553195
225,148979,17880,741.6,951,22,166859
1389,811465,218127,741.25,6103,70,1029593
441,254915,50877,693.41,1892,31,305792
1001,337752,128751,466.04,2440,10,466504
846,310960,75166,456.41,3998,44,386127
342,145228,28941,509.27,1250,17,174169
906,406582,67961,523.78,3031,65,474543
1718,919785,233016,671.01,6713,149,1152801
448,219985,52428,608.07,1620,35,272413
1046,534077,130151,635.02,3520,66,664228
2034,969436,299928,624.07,5546,139,1269365
572,251765,57363,540.43,2055,36,309128
283,179763,33442,753.38,1274,33,213205
1021,641906,137381,763.26,3627,65,779287
721,315234,65736,528.39,2205,47,380971
5484,7227861,1400745,1573.41,25249,515,8628606
211,99249,19054,560.68,787,17,118303
605,243639,72380,522.35,2547,30,316020
1343,730403,165525,667.11,8885,62,895928
553,342836,100178,801.11,2029,26,443015
342,207657,35332,710.5,1735,23,242990
2646,2752815,587378,1262.36,10845,148,3340194
428,245841,76657,753.5,1012,15,322499
140,81323,16989,702.23,398,9,98312
578,166665,30865,341.75,3297,57,197530
811,409921,131304,667.36,3446,39,541225
7713,19006817,4450742,3041.30,45211,614,23457560
7271,21641778,4120089,600368,35983,817,25761867
354,165633,18606,520.45,1365,13,184240
287,127809,20285,516.01,614,13,148095
1049,559330,115318,643.14,6151,39,674649
456,241378,36163,608.64,1505,37,277541
67,27710,3927,472.21,221,6,31637
538,206745,32422,444.55,1759,41,239168
770,450742,139013,765.92,2550,20,589756
1011,490618,131644,615.49,2895,32,622262
558,246783,84712,594.08,1664,15,331495
172,99242,19176,688.48,597,13,118419
2560,1521518,366346,737.45,9245,120,1887864
4517,6151404,1073904,1599.58,22145,600,7225309
848,401070,118411,612.6,2284,45,519481
169,132832,30420,965.99,712,12,163253
312,191291,46308,761.54,1157,8,237609
53,18802,3233,415.77,136,,22035
157,60594,9313,445.27,363,11,69908
1442,637404,200230,580.88,4609,60,837634
419,162014,29256,456.48,1208,1,191267
540,206951,51940,479.43,1313,18,258891
1400,616010,157172,552.27,2906,12,773182
579,201759,57832,448.35,2944,15,259592
402,201159,56320,640.5,962,22,257479
2084,1402311,383171,856.76,10539,154,1785483
56,23365,3503,479.8,221,2,26869
6671,12381283,2398064,2215.46,32910,619,14779348
448,286144,57886,767.93,1575,6,344031
22258,39727369,8356273,2183.57,124154,2034,48601852
1285,514161,179717,539.98,4298,44,693879
1047,440411,117742,533.1,3359,39,558154
3392,9510642,1578612,3285.18,18966,494,11143341
328,236837,48657,870.41,1188,22,285494
819,349889,56403,496.08,2073,37,406293
1869,900695,256290,619.04,7202,108,1156985
8011,17710358,3421141,2637.81,39295,731,21131500
84,26366,3564,356.33,282,3,29931
8746,17619728,3723488,2440.34,51165,654,21343216
488,256159,51860,631.19,2715,14,308019
86,46702,8922,646.81,265,5,55625
16512,36901426,9051747,322542,72731,1105,45953174
194,55114,9019,330.59,556,4,64134
84,36303,3956,479.29,356,7,40260
771,413016,101147,666.88,2558,38,514164
1743,700005,278782,561.55,3509,60,978785
1039,643229,121938,736.45,3525,79,765167
660,364796,65544,652.03,3045,41,430340
2781,1073326,283170,487.77,10079,105,1356497
672,279014,52490,493.31,3810,43,331505
1104,657662,153704,734.93,3496,38,811367
222,112827,19525,596.19,826,36,132353
188,66450,19041,454.74,444,9,85491
571,336117,69868,711.01,1840,7,405986
1668,5088166,919672,3601.82,8171,183,6007839
674,265579,73165,502.58,2086,30,338739
345,105215,20116,363.28,1018,15,125332
259,134109,26154,618.78,1189,6,160263
3767,7838681,1429824,2460.45,19200,354,9268505
1398,646642,177371,589.42,5539,77,824014
2467,959800,306152,513.15,8562,152,1265953
594,278470,53887,559.53,1984,24,332357
26939,69660978,13386571,3082.80,126778,2533,83047549
939,370463,83101,483.03,4438,31,453565
3613,2975644,684266,1012.98,9881,159,3659910
270,158618,34299,714.51,1008,25,192918
61,14737,2186,277.45,211,1,16924
798,277220,71141,436.54,3027,56,348362
170,122849,26687,879.63,750,6,149537
3426,5640788,1095264,1966.16,13265,330,6736052
124,68326,12613,652.74,197,8,80939
227,53328,7154,266.44,1243,5,60482
470,239402,79093,677.65,1355,21,318496
19,4356,1980,333.51,29,2,6336
4334,3834765,1003459,1116.34,19513,313,4838224
201,119602,24197,715.42,827,13,143799
283,118759,38676,556.31,640,7,157435
657,314947,49631,554.91,1947,9,364578
959,351993,110645,482.42,2822,47,462638
27490,65698852,13623942,2885.20,157026,2427,79322794
182,100533,19301,658.43,745,12,119834
9785,13980966,2838218,1718.87,58990,686,16819185
577,305705,55248,625.57,1823,17,360954
1809,906516,240374,633.99,8924,71,1146890
408,201544,57567,635.08,1318,17,259111
836,364647,101819,557.97,2579,27,466466
495,180237,30402,425.53,2193,7,210639
9909,25801099,4710020,3079.13,43041,1009,30511120
2182,732790,242193,431.41,9562,64,974984
2664,1297134,324971,608.9,10490,164,1622105
13,10668,2636,1023.51,41,1,13305
859,329011,71661,466.44,2967,31,400673
1466,3045210,643514,2516.18,6586,138,3688725
507,273046,77324,691.07,1590,24,350371
2834,2672032,563617,1141.73,11164,241,3235649
771,298263,66237,472.76,2926,63,364501
238,134328,22747,659.98,963,20,157076
3831,6414486,1279683,2008.40,20965,442,7694170
5436,8574608,1662421,1808.98,34416,658,10237029
1896,1159763,359982,801.55,4985,84,1519745
310,152179,27882,580.85,1426,30,180062
1150,523701,135595,573.3,3737,29,659297
1062,398133,130910,498.16,3460,77,529044
683,406947,80767,714.08,2839,25,487715
6741,8741193,2136302,1613.63,29949,468,10877496
3081,1709327,452878,701.79,10709,229,2162206
124,57247,9793,540.65,670,5,67040
1216,555034,120824,555.81,5117,85,675859
626,346003,89862,696.27,2302,36,435866
5338,6980529,1447222,1578.82,26643,584,8427752
2411,2054798,543579,1077.72,10318,176,2598378
228,116976,22712,612.67,1023,8,139688
44401,118355473,23818523,3069.65,352586,3317,142173997
270,173612,48143,821.32,1011,15,221755
587,268134,50867,543.45,2965,32,319002
121,82414,15961,813.02,527,7,98375
2139,5469397,1037191,3041.88,12241,204,6506588
406,211156,50469,644.4,1299,20,261626
2275,1226362,281896,716.36,7834,111,1629728
607,272435,78357,577.91,1967,21,350792
714,354838,90.320,623.47,2473,56,445158
131,55205,6586,471.69,672,2,61791
6360,11872991,2459812,2253.59,30194,471,14332803
3554,7537514,1391317,2512.33,18896,342,8928832
673,281504,54969,499.96,2910,58,336473
1791,798667,205209,560.51,4977,76,1003877
539,178173,37252,399.68,1587,19,215425
1746,775682,209278,564.12,5378,87,984960
1857,666112,171592,451.11,7275,142,837705
1585,716652,219542,590.66,4730,70,936194
13953,23511661,5145533,2053.84,62255,873,28657194
2737,3011893,630185,1330.68,12725,215,3642079
2104,1345266,344267,803.01,7861,103,1689534
702,220909,39703,371.24,2959,68,260612
262,182537,36164,834.74,1257,14,218701
2807,1546508,362592,680.12,12764,139,1909101
202,76336,10961,432.14,1362,32,87291
856,669557,122041,924.77,4333,58,791599
1636,595327,142947,451.27,4491,37,738274
591,241774,51054,495.48,2096,41,292829
17,7560,-20672,523.22,68,2,8894
1786,808752,214930,573.17,5573,73,1023683
428,237876,29113,623.81,1616,4,266990
430,202104,36634,555.21,1190,37,238739
2672,942376,263117,451.16,7928,85,1205494
87,35743,6329,483.6,351,6,42072
852,427977,82462,599.11,2249,28,510443
678,330992,64696,583.61,1870,33,395689
253,82404,13784,380.19,924,11,96188
258,145258,22303,649.46,1557,37,167561
973,349605,76655,438.09,1772,25,426260
874,461880,149831,699.9,2641,49,611712
1298,766884,153405,709.01,5085,53,920290
322,266154,66947,1034.48,1875,18,333102
4436,4870176,1040232,1332.53,16144,328,5911105
1081,491194,113480,559.37,3354,64,604675
40658,87190757,19809076,2631.70,239107,3368,106999833
212,97514,18535,547.41,651,17,116049
19379,39234990,9050652,2491.65,85887,1472,48285642
765,309924,61650,485.72,3181,8,371575
1277,465625,141865,475.72,4757,73,607490
2661,1711475,377622,785.08,10714,205,2089095
114,71302,13164,740.94,422,9,84467
895,479771,78808,624.11,3806,74,558579
362,220144,45293,733.26,2316,48,265438
4687,3647916,854417,960.6,20281,280,4502333
495,223202,51306,554.56,1768,22,274509
390,143914,54288,508.21,1471,17,198203
3478,4133077,993474,1473.99,11185,126,5126552
1433,477335,88427,394.81,6014,76,565763
3479,4657583,1111818,1658.35,16599,264,5769402
1010,501699,104557,600.25,7243,61,606256
2938,1594175,421944,686.22,8085,241,2016120
4433,9518299,1737747,2539.15,26747,386,11256046
1131,472148,119787,523.37,4760,97,591935
211,80164,25232,499.51,588,9,105397
224,99631,11623,496.67,868,10,111254
5116,10554152,2041955,205542,22308,447,12596108
5405,4382518,1069641,1008.73,29292,431,5452159
673,221035,88043,459.26,2144,23,309078
728,414144,84658,685.17,2382,47,498803
711,247624,77138,456.77,2205,40,324762
347,175654,35326,608.01,1068,23,210980
53,29773,6546,685.27,254,6,36319
15497,42124991,9589720,525068,75361,1483,51714712
10314,16771153,3606258,1975.70,62310,1183,20377411
6410,10826981,2271675,2048.73,31985,499,13132383
1360,2356734,468511,2077.39,6723,113,2825246
1944,1006559,236720,639.55,7630,148,1243280
152,61085,8846,468,581,18,69931
1851,777898,374076,622.35,5129,50,1151974
503,229334,55890,567.05,1689,9,285225
568,222955,66630,509.83,2166,37,289585
99,55314,10367,663.46,342,8,65682
111,38957,5426,399.85,504,,44383
506,171680,28062,394.75,1874,25,199743
500,194334,46510,481.69,1733,34,240845
6024,8017943,1856682,1639.21,24164,367,9874625
1581,810223,207711,643.86,7544,123,1017935
3857,3839382,774898,1196.34,14200,252,4614281
715,311393,72081,591.62,3017,48,423008
10964,34494829,6765292,3775.94,55911,1076,41399448
96,40374,6759,490.98,709,,47134
954,538200,162107,734.08,3785,71,700308
10936,24431370,4784422,2671.52,60984,1107,29215792
1912,996237,217403,634.75,7244,121,1213640
310,142737,25984,544.27,1730,19,168722
14791,40907477,8869568,3365.36,85367,1404,49777046
420,163352.00,32198,465.59,2494,26,195548
429,220107,40256,606.91,1551,24,260364
1110,477765,138270,554.99,2205,26,616035
38,14336,1390,413.87,147,7,15727
74,29515,132890,473.7,428,4,35053
357,102633,29003,368.73,1703,26,131637
1024,342522,80711,413.31,3538,53,423233
600,229068,58146,478.69,2297,16,287215
979,449929,101533,563.29,4697,77,551463
2806,1469665,418497,672.9,10368,178,1888162
5252,4166638,974233,978.84,26348,421,5140871
123,68889,11580,654.23,408,8,80470
557,174059,73889,445.15,1256,11,247949
56,22104,3824,463.01,247,8,25928
284,163959,34175,697.66,1122,,198135
930,395740,123332,558.14,2961,28,519073
386,167990,35625,527.5,1575,26,203616
1884,2160651,431078,1375.65,5953,140,2591730
231,111811,12789,539.4,830,8,124601
560,151744,24798,315.26,1658,18,176543
383,168311,44489,555.62,1579,30,212801
1381,1811400,262936,1102.78,21530,103,2074337
1408,520290,103718,443.19,3519,34,624009
1079,594803,154091,694.09,3711,40,748928
4262,3156099,717286,908.82,13535,246,3873386
260,141477,25553,642.43,910,21,167031
1523,743776,208209,646.73,4258,79,984977
367,206253,49307,696.35,1001,2,255560
4089,7157747,1405939,79319,24566,387,8656552
1003,396919,116223,511.61,2321,25,513143
1867,838462,221625,567.8,7308,55,1060087
185,89489,9660,535.95,677,13,99149
2298,4597044,858048,2373.84,6896,258,5455092
920,302725,105530,443.76,2623,13,408256
1417,1458004,302905,1242.70,6385,117,1760909
1549,1454911,318114,1144.63,8228,78,1773025
2396,3018074,670699,1539.56,10180,236,3688774
585,256531,48814,521.96,2681,47,305345
2871,1267409,406561,583.06,9298,89,1673970
1654,672093,171770,510.2,3878,60,843864
1050,466462,197339,632.19,2991,17,663801
164,53970,9735,388.46,540,15,63706
1443,927000,162103,754.75,4766,66,1089104
7367,23892816,4498911,3853.91,38699,717,28391728
1207,512675,114745,519.82,3449,72,627421
1473,692395,171681,586.61,6121,102,864076
1040,328547,116797,428.22,2644,60,445344
6019,13882263,2650857,2746.82,29701,599,16533121
68,27930,3800,466.63,307,7,31731
245,96206,20340,475.7,454,7,116546
73,27916,5505,457.83,426,3,33421
7946,18098844,3737085,2224.75,95289,635,21835930
425,181538,32301,503.15,1932,16,213841
333,121389,43087,493.93,1048,24,164477
44,52623,13376,1500.00,232,3,66000
99,37509,6221,441.72,400,2,43730
411,344428,81572,1036.50,1868,11,426000
141,67722,11009,558.39,590,17,78732
2301,1111433,296003,611.66,7512,91,1407436
17925,19302097,4545358,1330.40,75835,1360,23847455
6615,7333951,1698600,1365.46,26871,342,9032550
1656,835583,143140,591.02,5517,22,978724
17494,36786372,8331257,248061,87419,1234,45117629
3307,3362870,791195,1256.14,14410,200,4154066
66,38807,6933,693.05,418,1,45740
6014,12740924,2597015,2550.37,34804,564,15337939
1366,634798,198455,610,4163,72,833253
4739,6805487,1418485,1735.38,19787,438,8223972
2284,1873930,416734,1002.92,8713,109,2290665
11839,21085223,3801215,73962,60670,1152,24886438
25790,55733794,10249818,2558.50,179094,2705,65983613
55601,108099618,21755991,2335.49,298446,3749,129855610
5340,3967647,1147899,957.97,23069,300,5115546
217,76689,13438,415.33,837,1,90127
403,136955,54984,476.28,1483,9,191939
10332,28409288,7506448,3476.17,54646,890,35915737
1132,657123,131463,696.63,6005,72,788586
433,285802,54719,786.42,2393,13,340521
398,297462,77881,943.07,1532,18,375343
1413,1755208,389954,1518.16,8625,177,2145162
6451,8106935,1558004,1530.39,32998,452,9872520
9,3298,456,417.22,30,2,3755
315,137272,23472,510.3,1395,29,160744
853,365844.00,72055,513.36,3079,89,437895
4899,3827773,776752,939.89,16491,368,4604525
1480,570348,186186,511.17,4815,51,756535
1195,354051,138743,412.38,2649,21,492795
935,628761,147810,830.56,4013,47,776571
3396,5083899,1030024,1800.33,15610,229,6113923
123,40144,5530,371.34,540,8,45674
1294,756309,155704,704.8,8682,92,912014
2884,1523742,480170,694.84,12433,241,2003912
204,83980,14303,481.79,612,2,98284
28747,49680491,11146204,2091.70,153510,1457,60826695
8185,9550844,2568683,1392.73,58604,139,12119527
1572,735327,196936,593.04,7745,97,932263
25147,42935121,9623054,2094,101112,1208,52558175
161,51624,9752,381.22,413,4,61376
2209,937722,285888,553.92,8487,76,1223610
420,187411,40817,543.4,1182,14,228228
3131,8656725,1548818,3259.52,17094,384,10205543
3504,1583055,577472,616.59,12276,6,2160527
992,584481,126446,716.66,2801,21,710927
3919,7663471,1687091,2385.96,15938,209,9350561
228,103987,21794,551.68,978,17,125782
1489,662447,145151,542.38,4190,67,807599
449,138043,58874,438.57,1099,5,196918
1873,1089592,300279,742.06,8429,82,1389872
376,121909,31419,407.79,1253,13,153329
235,107176,21009,545.47,850,23,128185
11979,25240277,5463350,2562.91,56981,923,30703627
1518,725728,171005,590.73,6468,65,896733
714,364792,83955,628.5,2785,16,448748
531,223478,43629,503.03,1008,2,267107
373,182688,33531,579.68,1194,25,216219
393,254272,57950,794.46,1275,31,312223
2562,1047403,316335,532.29,9680,64,1363738
136,80616,16654,715.23,583,3,97271
1141,334349,58962,344.71,1281,9,393311
706,330880,60218,553.96,2177,3,391099
122,44854,7022,425.22,425,14,51876
1054,243550,327527,687.05,1515,10,724154
2013,702086,265192,480.52,5049,47,967279
4170,6132949,1282845,1778.37,15657,255,7415795
690,339386,75030,600.6,2528,30,414416
1454,1209024,262455,-324303,7907,107,1471479
18815,16633038,3598225,1075.27,67159,1274,20231263
21599,98548533,16548120,5328.80,194770,3753,115096654
461,170276,32110,439.02,1466,20,202386
2146,1900014,488203,1112.87,9059,135,2388218
37005,71915885,15483209,2373.69,214814,2505,87838291
56698,95677931,19727915,2035.84,313955,2840,115428038
9129,9408683,2139761,-231867,55377,696,11548445
1021,462710,114842,565.67,3922,43,577553
3160,3018018,768325,1198.21,21030,295,3786343
357,267626,62442,924.56,1624,21,330068
2978,1282802,416305,570.55,13921,230,1699107
1500,768131,198247,644.25,6711,144,966379
5215,4973535,916375,1015.33,64615,672,5889911
13279,19750242,4460273,1823.22,59329,1099,24210516
15149,15767157,2280063,1191.31,64437,716,18047220
1698,793816,212411,592.6,7024,118,1006227
3949,17917468,3079690,1248248,24302,599,20997158
9675,10042946,2692385,1316.31,37531,742,12735331
2134,1039912,289851,623.13,11191,179,1329763
882,640461,132330,876.18,3357,54,772791
30530,59157302,12191062,2231.87,261546,2726,71348364
1370,695792,160340,624.91,5446,102,856133
1202,633741,156247,657.23,5967,99,789988
2496,1353898,382362,695.62,12113,265,1736260
403,1201126,215405,3514.97,4375,94,1416532
1015,841107,169565,995.74,4228,94,1010672
433,235835,48517,656.71,1814,28,284353
58206,89129185,18585654,1855.21,271201,6367,107984237
275,193924,42717,860.52,1639,44,236642
2177,2615667,469209,-176351,12578,291,3084877
7768,7382291,1678180,1166.38,60600,1599,9060472
3714,1728181,555830,614.97,19078,342,2284012
615,431453,67665,811.58,3372,95,499119
11902,38053754,7810557,3531.28,86577,780,45864312
1300,406843,122216,406.97,4807,65,529059
29,10444,1645,416.92,151,,12090
11284,15417225,3347069,1662.91,71507,1017,18764295
6254,5551162,1305514,1096.37,27387,586,6856677
2353,936597,314775,531.82,11336,174,1251373
9337,20007082,3752752,2544.70,52548,1358,23759834
535,254583,49302,568.01,1952,64,303885
8729,3033095,2146272,593.35,30185,5,5179367
3583,1707684,467952,607.21,14316,427,2175636
1484,1835747,373982,-150022,5410,119,2209729
643,292258,92326,598.11,2652,24,384584
2577,2577938,557445,1216.68,14073,163,3135384
31895,48071070,9795991,1692.96,298697,3370,57867062
7587,16899165,3257243,2126.43,116216,1106,20156408
27990,24152694,6946125,-287994,177620,3865,31098826
2089,1076008,308388,662.71,8870,251,1384396
4941,7410915,1150958,1732.82,21995,213,8561874
2434,1231686,385817,675.51,12408,145,1644186
16313,52036378,8001855,2792.35,259342,1205,60038234
963,454512,131622,608.65,3423,50,586134
1961,1058537,312564,699.18,7490,131,1371101
1333,1063690,258761,992.09,8744,111,1322451
467,198733,39273,509.65,2827,44,238006
5331,4141203,654065,899.51,16679,2,4795269
1565,2810185,568425,2158.86,9696,172,3378610
8728,7018252,1612027,988.8,40429,825,8630279
5850,7528937,2093362,1644.84,24711,378,9622300
462,304050,77706,826.31,1589,26,381757
334,202407,35963,713.69,2096,25,238371
5113,2949168,952730,763.13,25721,392,3901898
278713,411839917,94986567,1789.98,2193728,27804,507081211
564,254512,73540,581.65,2327,32,328053
2885,1512055,327985,637.8,12184,187,1840041
2305,3116307,577487,1602.51,13700,295,3693794
660,511594,75861,899,5820,144,587456
34976,42686481,9203510,1429.48,222276,4286,51889992
2174,1647191,295713,893.7,13810,251,1942905
9752,13704527,4192781,1835.24,49654,472,17897309
861,482309,122699,702.68,3830,60,605008
1891,720302,366416,574.68,3291,,1086718
734,318786,85298,550.52,3068,59,404084
3613,2468233,614478,853.23,21431,527,3082712
1518,760175,356716,735.77,4572,38,1116892
548,295811,56274,642.49,4002,92,352085
605,290280,73184,600.77,2774,32,363465
77,87124,14049,928.2,1251,10,101173
10721,23489389,4829820,2596.19,70489,920,28319210
630,281042,65949,550.78,2200,42,346992
4861,9074766,1713450,2014.98,37602,517,10788217
7139,9032403,1803016,1517.78,44974,588,10835419
243,97939,21238,490.44,789,1,119177
5339,21209496,4175898,4605.48,41673,664,25385395
18223,49916249,9350976,3252.33,129819,3181,59267226
3778,7210098,1230748,1736.51,52195,390,8458552
1181,521585,141730,561.66,3416,104,663315
1169,329737,173901,430.83,2346,14,503638
1058,344327,73029,394.48,2569,53,417357
108,73290,16897,835.07,567,5,90187
380,293120,63889,939.5,1815,50,357010
6381,10774226,1970907,1689.89,74646,787,12745134
3898,7072751,1618967,1928.92,36087,247,8691719
4804,10960951,1926273,24108,74753,506,12887225
3544,4390787,858553,1481.19,15168,447,5249341
1349,831246,248720,800.57,5403,113,1079966
3621,4698929,928781,1554.19,15659,284,5627710
56,47863,10643,1044.78,211,8,58507
2235,1269660,407137,750.25,8095,148,1676798
11620,33719557,6478665,490278,100953,1978,40198222
15435,26142673,5396548,2023.95,81123,1183,31539222
6109,16795002,2962030,2531.33,84304,534,19757032
130,41468,8338,383.14,378,3,49807
1938,1844549,494907,1207.15,7242,109,2339457
8055,15321744,3223042,2302.27,43744,866,18544786
4214,1308219,541413,438.93,15492,328,1849632
1093,648877,201473,778,3385,56,850350
5957,8316769,1871085,1710.23,27852,475,10187855
24,9624,1145,448.76,67,1,10770
1949,1051833,284127,685.46,6994,213,1335961
1782,1005608,221086,688.38,7156,178,1226694
26327,64433218,13617032,2906.68,149847,2693,78050251
33916,26864453,6518450,984.28,139518,2221,33382904
928,375114,91875,503.22,2668,40,466990
3813,5336103,973248,1601.76,16963,324,6309352
34502,61793835,12186885,2141.76,204011,2353,73980720
3529,2503023,689740,904.72,13802,326,3192764
668,519421,119181,955.99,5232,82,638602
3512,1717206,534620,641.18,13686,215,2251827
204,94229,21607,567.83,418,25,115836
4658,5074046,1224866,1352.28,21613,446,6298912
45,17650,2443,446.52,135,4,20093
208,159883,35328,938.52,947,23,195211
2276,1196125,362776,684.93,8842,166,1558901
210,149999,32274,867.97,1197,24,182274
721,399881,104499,704.11,2802,50,507663
24876,61773405,12435466,2951.47,152144,1744,74208871
17268,31871490,6448285,116848,75932,1578,38319776
862,418110,133002,639.34,3339,51,551113
768,426844,100313,686.4,3108,55,527157
563,220348,116408,598.15,1502,10,336757
3342,3124284,703741,1145.43,13255,393,3828026
896,445143,92949,600.55,4208,109,538092
1117,1452650,205039,1027.25,19078,67,1660030
856,441846,126233,663.64,2658,50,568079
4976,2594815,1189702,760.55,17795,144,3784517
1146,442760,123901,494.47,4333,114,566661
337,177182,46139,662.68,798,5,223322
2430,1931637,457053,983,9148,118,2388691
74551,173557674,37102463,2825.72,464095,5584,210660137
2377,1675814,418464,881.06,8784,198,2094279
2783,3974068,1423908,1261.80,55249,211,5397977
1420,819734,195174,714.72,5215,157,1014909
2121,1486760,427091,912.97,7077,224,1936415
2575,1745406,464463,858.2,8214,226,2209869
14038,26739844,5355203,2286.84,58738,904,32102656
15573,15630267,3888030,1253.34,71026,737,19518297
294,131794,33662,562.78,801,16,165457
1216,2487793,381443,946.44,59546,132,2869617
626,464183,108448,914.75,2637,61,572632
14902,36447148,7339512,2736.50,123842,1535,43786661
985,409770,101588,519.15,3556,76,511358
1078,648521,149412,740.2,5182,98,797934
619,518717,119070,-311672,3125,71,647529
491,211155,55348,542.78,1524,29,266503
1006,594314,149232,739.11,3786,52,743546
291,171766,38250,721.71,1429,15,210017
665,343459,102375,679.62,1901,36,451949
33,35146,256120,-206056,147,8,44058
1491,603370,174171,521.49,4362,73,777541
1558,781180,251075,662.55,7577,223,1032255
13997,16318975,3937567,1447.21,59316,1039,20256543
124,63977,12976,620.6,606,12,76954
5514,10087304,1910464,2175.87,31852,737,11997768
5937,9912464,2157691,48670,32726,409,12070155
1318,651702,155429,612.39,4498,93,807132
1512,846450,232785,726.58,4492,105,1098595
22372,23866135,5350563,1305.95,132791,1492,29216699
2932,5013530,909784,1245.18,60275,66,5923314
1289,651384,153027,624.06,6037,84,804411
3182,7385995,1323823,2737.22,15302,522,8709819
1428,562055,133349,486.98,3228,100,695404
4668,5035801,1296227,1359.91,19593,334,6348068
1185,675845,150014,696.93,3249,50,825859
3478,7876599,1329379,1535.35,88062,257,9205978
145,54087,22206,526.16,382,4,76293
900,386143,109548,550.77,3283,81,495691
4785,8350452,1524204,2063.67,23583,502,9874657
9097,9483665,2174707,1281.56,59609,1031,11658373
596,230073,56605,481.01,1784,27,286679
21553,46608658,9829714,2470.38,145552,1919,56438372
9635,9901195,2450733,1292.34,47452,603,12451675
7457,9405487,1709173,1416.78,78721,624,11114660
154,114540,25618,910.12,1038,19,140158
1897,4579095,743113,1378.45,67774,98,5322208
374,212828,40713,677.92,1376,31,253542
1766,945333,245091,674.08,5036,74,1190424
640,375498,111874,761.52,2569,59,487373
685,367675,104543,689.37,1759,13,472218
301,106538,21684,425.99,1078,17,128223
1426,768231,226259,697.4,5325,118,994491
1404,761330,237365,711.32,4654,54,998696
7759,12362461,2706219,1957.98,43160,617,15191951
1325,697260,207395,682.76,5431,84,904656
11363,17893427,3957001,1910.67,71130,1096,21850429
53341,91328690,18001919,1811.16,521341,5436,109330609
733,702207,167449,1186.44,2358,39,869657
6183,4466424,1261946,926.47,21302,631,5728370
447,50453,19202,155.83,1032,20,69655
969,485432,174916,681.48,2328,51,660349
247,248143,60791,1250.75,1231,15,308935
4198,3791301,809567,1095.97,15598,423,4600868
1897,1317035,359148,883.6,9120,149,1676184
524,345512,91326,833.66,2120,30,436838
1285,1660868,340850,1557.76,6910,126,2001719
2030,2847446,543767,1670.55,9253,249,3391214
2091,1244651,338763,757.25,7530,59,1583414
12492,18394464,3652481,1695.19,72133,913,22159532
260,78260,19254,375.06,977,17,97515
754,490720,130987,824.55,3674,72,621708
586,379179,105740,827.51,2205,64,484919
479,219195,77674,619.77,1518,37,296870
300,167296,35349,675.49,1427,55,202645
188,152981,34485,997.17,609,15,187467
9913,9288379,2167678,1155.66,46346,549,11456057
17359,15922091,3838898,1138.37,76007,1086,19760989
8820,9305510,2088850,1291.88,46598,1112,11394361
6443,7463777,1956380,-159762,28200,629,9420158
