Internados,Valor serviços hospitalares,Valor serviços profissionais,Valor médio intern,Dias permanência,Óbitos,Valor total
958,343267,105058,467.98,1463,4,448326
3119,1363119,621636,636.34,11506,38,1984756
634,222799,58088,443.04,1382,,280887
579,188085,32940,381.74,1292,,221026
453,256794,59461,698.14,1296,,316256
825,326487,72055,483.08,2318,,398543
1,285,3,324.9,3,,32
3295,2527370,559979,936.98,10322,246,3087350
453,165157,41960,457.21,660,2,207118
5,1473,264,347.72,16,,1738
19,1385914,891,346.6,41,,6585
330,152475,42804,591.76,638,7,195279
738,235668,65690,408.35,1536,13,301359
465,211765,46477,555.36,1520,,258242
168,58108,11806,416.16,379,,69915
917,201273,43100,266.49,1940,,244373
35,19985,6617,760.1,107,,26603
670,200933,81506.0,421.54,1691,,282433
687,248798,67812,460.86,1119,16,316610
76,24256,4852,383.01,159,,29108
1154,512167,76350,509.98,3624,4,588517
787,367567,114284,612.26,1918,4,481851
440,118601,33430,345.53,898,,152032
2017,686443,198618,438.8,8176,28,885062
1305,535307,195554,565,3370,8,730861
588,254671,67689,548.23,2745,,322361
243,100374,21989,503.56,653,,122363
39,14462,2501,434.97,192,,16963
1268,344494,66086,323.8,2622,,410581
969,332986,82741,429.03,2941,,415727
912,370557,108785,525.6,2201,,479342
760,205239,65290,355.96,1980,6,270529
859,403623,83802,567.43,2978,5,487426
666,372255,87553,690.4,2582,38,459808
4755,1706733,317769,425.76,14180,14,2024503
1349,494033,96314,437.62,4255,4,590347
796,298474,124235,531.04,1981,1,422710
1237,446784,100511,442.44,2701,2,547295
5186,2835118,775204,696.17,21768,225,3610323
296,77126,24196,342.31,687,,101323
1266,381145,170036,435.37,2169,1,551181
47,22886,5298,599.67,114,,28184
3049,1651370,442866,686.86,14362,106,2094236
9717,8578138,2207641,1109.99,39618,443,10785778
1063,303665,64561,346.4,3063,,368227
501,204782,61139,530.78,1348,2,265921
337,90268,23602,337.9,1086,11,113871
2058,745650,201964,460.45,5719,22,947614
27,7055,1062,300.68,55,,8118
7884,9937043,1982624,1511.88,40840,690,11919667
186,55632,11268,359.68,587,1,66900
625,166751,34692,322.31,1267,,201443
344,114972,27434,413.97,2026,1,142407
473,110649,26451,289.86,1352,,137101
144,80791,10579,634.52,603,1,91371
1300,375833,88872,357.47,3127,,464705
1662,504379,117024,373.89,3954,,621404
321,121968,23420,452.93,1277,1,145389
1437,508181,183540,481.37,2821,21,691722
10951,9801750,2441588,-285618,46368,582,12243339
3071,1236749,514920,570.39,8554,18,1751669
1079,1224271,285049,1398.81,6638,156,1509320
931,318253,113548,463.8,2732,,431801
876,243222,83991,373.53,1903,1,327214
285,91935,29570,426.34,692,,121505
724,203309,41470,338.09,1615,,244779
305,92485,16351,356.84,979,,108837
579,204990,68539,472.42,1099,1,273529
1636,432256,146969,354.05,4343,5,579225
1922,642051,150360,412.28,7110,3,792411
340,104407,17603,358.85,809,,122010
1300,683789,173294,659.3,4935,,857084
449,149355,27260,393.35,1216,1,176615
643,234883,45971,436.79,1601,,280854
437,272606,61021,763.45,1121,10,333627
779,203189,41739,314.41,1588,2,244928
242,92052,30900,508.07,687,1,122953
1220,508432,129383,522.8,3971,,637816
1025,236952,44197,274.29,2403,11,281150
2852,895905,561539,544.61,7091,19,1553235
113544,198291631,45041830,2047.88,1058044,7748,243333462
1449,513976,102681,425.57,3757,5,616658
1502,394298,92043,323.8,2754,26,486341
807,316874,57920,464.43,1799,1,374795
1195,344470,83931,358.5,5063,,428401
1119,549003,101891,581.67,3847,,650894
55,15334,2562,325.39,170,,17896
1272,339650,93156,340.26,2928,,432807
233,68580,12628,348.54,545,1,81209
908,421905,112881,588.97,2835,10,534787
49,16690,5092,444.55,121,,21782
389,135391,26303,415.67,997,7,161694
255,92563,22581,451.55,946,,115144
4082,1845812,634556,607.64,12248,100,2480369
8297,7890992,2119521,1206.52,32630,382,10010513
571,259601,82843,599.73,1788,20,342445
327,104541,22479,388.44,724,1,127020
4088,1270251,304657,385.25,8941,20,1574909
380,104787,38142,376.13,865,,142930
1929,659592,235030,463.78,4969,2,894623
1716,646747,235701,514.25,4223,8,882449
2038,772232,268608,510.72,5326,25,1040841
2531,1005021,386172,549.66,7721,63,1391193
438,151630,33380,422.4,1009,1,185010
228,76048,31295,470.81,464,,107344
2538,957211,243417,473.06,4933,14,1200628
3754,1690642,568097,601.69,11816,96,2258740
21,920,25,56.19,22,,1
753,521154,126328,859.87,2984,28,647483
74,18728,38539,293.03,263,,21683
84,38651,7182,545.65,349,2,45834
874,516936,131874,742.35,3219,24,648811
1077,521344,132072,606.7,2709,40,653416
107,40124,148897,430.84,396,,46100
1576,775091,228159,636.58,6036,57,1003250
774,346932,76906,547.6,2822,1,423838
123,36489,7765,359.8,598,1,44255
288,168269,18571,648.75,864,,186840
4434,3168933,856439,908.78,16369,225,4029530
5217,2137116,538869,512.94,16142,127,2675986
1218,660446,150480,665.79,3709,1,810927
529,225738,56.379,533.29,1956,4,282108
242,97682,26053,511.3,551,,123735
1496,641743,279892,616.07,4404,35,921636
725,473533,56019,730.42,2238,,529553
986,489904,140424,639.28,3080,14,630329
1071,657376,184049,863.43,3363,5,924731
548,188076,36429,409.68,2019,8,224505
3959,1811324,642505,619.81,7522,99,2453830
10678,8776373,2348214,1049.00,51861,677,11201227
13,5153,547,438.55,69,,5701
2472,1345752,162667,610.2,8228,,1508420
349,130327,30171,459.88,1055,10,160498
82,52936,12201,794.37,365,,65138
56,20792,2918,423.41,191,,23710
390,193958,53289,633.97,1156,4,247247
1175,360831,63259,360.93,2354,,424090
46,18511,2993,467.51,205,,21505
1119,470761,108500,517.66,4292,2,579262
241,52162,8349,251.09,851,2,60512
2088,1068197,329922,734.65,6868,,1533957
82,38267,12154,614.89,210,,50421
1241,555230,89562,519.58,2887,1,644792
262,58966,9582,261.64,595,,68548
5228,6332583,1330879,1468.96,20296,235,7679708
8,3897,1054,619.04,27,,4952
1503,732972,132342,575.73,4448,,865315
17998,16274087,4868795,1174.74,108025,1274,21142883
1912,669852,245940,478.97,4584,14,915793
2528,905275,230214,449.17,10521,50,1135489
6107,2971558,791843,616.24,24080,321,3763402
101,33110,127332,381.15,337,1,38496
76,38695,181397,599.5,402,1,45561
718,265027,113671,527.44,3021,1,378698
3931,4590810,1205906,1474.62,17745,371,5796716
272,103221,24584,469.87,645,,127805
1338,544393,89293,473.61,2782,24,633686
216,59273,11829,329.18,423,,71102
21,7704,1178,423.01,41,,8883
26,2007984,1358,336.77,66,,8755
1228,406778,122044,430.64,3879,34,528823
387,166697,54408,571.34,1333,3,221106
212,120293,33224,724.14,662,2,153518
12098,8029244,1591951,799.18,36200,213,9668447
1795,864305,103464,539.15,5420,,967769
69,22367,7395,431.35,436,,29762
95903,177305282,38227726,2214.00,603521,6380,215533009
790,306237,96140,509.34,2940,22,402377
1763,1133518,315291,821.79,6409,65,1448809
2599,1106928,424552,598.97,7021,61,1556735
389,210910,25138,606.81,1182,,236049
3529,1276381,526662,510.92,10273,58,1803044
1656,915352,295548,731.22,4146,30,1210900
192,90445,23775,594.9,760,5,114221
72,33958,147850,554.26,407,1,39906
133,89024,21266,829.25,706,3,110290
160,71791,27996,623.68,557,,99788
61,46940,10538,942.28,262,3,57478
128,85135,21572,833.65,491,4,106707
1577,655900,245615,571.67,5908,112,901516
3967,1795168,685339,630.99,14205,163,2503133
367,167853,38776,563.02,1662,22,206629
72,49622,11646,850.95,292,,61268
441,229101,44023,619.33,1952,15,273124
133,52457,11702,482.41,477,10,64164
296,189868,44991,793.45,1434,22,234868
1855,764892,284666,565.8,5084,10,1049559
10,4537,74,528.73,37,,5287
239,108632,26682,566.17,968,14,135315
14626,28386982,6363806,2375.96,81947,1095,34750789
167,133608,32614,995.35,792,,166223
248,175812,39569,868.48,1293,15,215381
2030,736025,387576,553.5,3661,8,1123602
590,384655,90934,806.09,2375,63,475590
540,287431,77788,687.39,2149,21,371188
1325,780922,209395,747.41,3820,70,990317
7704,8164321,1862330,1301.49,23593,325,10026652
4119,1531132,554873,506.44,11186,46,2086006
748,440117,93819,713.82,3243,43,533937
5549,3647280,1269867,886.13,19879,235,4917147
20,8425,1233,482.98,93,,9659
58,30480,8986,680.46,156,2,39466
463,233369,50456,613.01,2130,20,283825
485,287158,56327,708.22,2039,21,343486
438,261927,54875,723.3,2145,23,316803
521,316230,81561,763.52,1628,19,397791
1754,664556,321631,562.25,4787,36,986188
343,187694,47877,686.8,1532,7,235572
141,85381,21297,756.59,613,7,106679
8528,4850881,1717888,770.26,46970,517,6568769
1433,850526,208457,739,3875,43,1058983
164,120167,31751,926.34,425,7,151918
107,44306,221531,488.52,450,7,52271
218,157383,38571,898.88,764,9,195955
107,35356,9537,419.57,402,2,44894
8903,7747488,1880845,1081.47,36932,558,9628334
13912,10601551,3065958,982.43,44064,431,13667509
327,139148,38179,542.29,1322,14,177327
855,457933,141597,701.21,3364,47,599530
300,255395,62168,1058.54,1094,17,317563
19,15691,3656,1018.31,81,2,19347
3589,1896423,767391,742.22,7520,53,2663815
217,142932,31725,804.88,1337,13,174658
220599,388670765,89204249,2119.18,1739906,13774,477875015
169,135853,32670,997.18,772,2,168523
300,163384,42056,684.8,1474,20,205441
11,3293,1056,395.47,39,,4350
1017,334074,140761,466.9,2415,,474836
77,43294,9581,686.7,249,3,52876
25,21986,5141,1085.14,142,,27128
59,62624,15082,-212753,328,9,77706
570,324166,111245,763.88,2027,11,435411
1,228,41,270.38,6,,270
468,219014,74034,626.17,1849,20,293048
1737,707005,317828,590,4859,24,1024834
40,15365,2797,454.06,238,3,18162
639,340431,88788,671.71,2412,22,429220
3284,4184651,946828,1562.57,10540,222,5131479
5822,6100471,1449915,1296.87,21988,450,7550387
296,164045,39338,687.11,1357,10,203383
209,93297,17388,529.6,613,,110686
150,111921,27748,931.13,631,9,139669
2007,861463,302411,579.91,5347,49,1163875
578,218673,69539,498.64,1576,20,288212
404,227862,62139,717.83,1294,16,290001
221,92196,26963,539.18,576,4,119159
60,56782,13570,1172.55,245,7,70353
217,163054,37908,926.1,1346,27,200963
822,429776,142202,695.84,2584,25,571979
10962,16081395,3679508,1802.67,46136,492,19760904
229,177528.00,42359,960.17,873,22,219879
841,396654,112633,605.57,3342,16,509288
367,236269,59583,806.14,1347,4,295853
178,95165,23043,664.1,601,9,118208
1091,507539,179750,629.96,3109,20,687290
343,196893,43123,699.76,1611,26,240016
401,272832,53731,814.37,2099,24,326563
65,28346,4481,505.04,261,1,32827
252,162308,54073,858.66,732,1,216382
17906,29223620,5656690,1947.97,111505,2250,34880311
570,304435,73181,662.49,2249,17,377617
1157,659441,181811,727.1,3241,22,841253
5924,6943806,1463458,1419.19,17850,376,8407265
247,118257,29.451,598,509,5,147707
18304,11681939,4307972,873.57,45350,469,15989911
2248,2018804,483001,1112.90,8388,193,2501805
361,192744,59652,699.16,1254,11,252396
415,204008,62213,641.5,1486,,266222
974,582842,145227,747.51,4339,82,728070
68,29233,9536,570.15,312,,38770
360,198209,61101,720.31,915,10,259310
200,137461,33024,852.43,573,7,170486
857,359672,94593,536,2902,25,454265
1289,813038,211276,794.66,5610,66,1024314
290,201825,49524,866.7,1043,,251344
1859,673272,292993,519.78,4424,38,966266
113,113083,28521,1253.15,683,5,141605
233,115736,36303,652.53,845,5,152039
1243,710914,182598,718.84,4100,42,893512
83,78150,18636,-267813,426,6,96786
134,61894,13953,566.04,698,1,75848
1032,687256,180851,841.19,3422,29,868107
643,341996,75806,649.77,2210,14,417803
260,154218,38921,742.85,1167,25,193139
773,494330,132154,810.46,2419,60,626484
1081,572339,172322,688.86,4669,74,744661
405,275749,62331,834.77,2318,82,338081
199,123327,28268,761.79,847,14,151596
113,70110,18007,779.8,447,2,88117
767,455581,150272,789.9,2756,60,605853
417,244639,65495,743.73,1633,26,310134
1313,616739,165629,595.86,4832,14,782369
16,14420,3830,1140.70,48,,18251
1040,483755,151717,611.03,3179,52,635472
20,9530,2125,582.81,73,1,11656
930,552103,162584,768.48,4642,62,714688
305,145435,35921,594.61,965,8,181356
281,132782,30796,582.13,1034,27,163578
326,107493,22490,398.73,1229,7,129984
137,86693,22139,794.4,444,,108833
222,111716,20983,597.75,946,5,132700
12,5111,84,496.36,140,,5956
5824,3809868,1254435,869.56,23229,165,5064303
430,277045,62926,790.63,1828,19,339972
11441,18108831,3404680,1880.39,68720,943,21513512
